Title,Price,OriginalPrice,Url,PriceDecimal,OriginalPriceDecimal,DiscountPercent,BatchGroup
"Celular Samsung Galaxy A07 256gb, 8gb, Câmera 50mp, Tela 6.7 , Proteção Ip54, Processador 6nm - Preto",1.799,1.799,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=ImABzUwy6ZOUMf88Wf7%2FrrsXR9mLuBikVsk7ThhblFiA81atlAY2uaENHqUwTNTJhLteyt9yyU9edfvwRXQ9lsNor3EjhCU8%2Fbea%2BBX6yjlh78V0abNO97av439uHoz6zVN2RXUzefuptLNCcW2F%2B7Z2mJs8Y8R8ZmNZsxjeVfimgOcqbf1MnqGDKgKcu2QOndpdUDGEwYZCMjfbMMFXgp0Cqb1V1%2FkmMcPqtLuTTobnLSsnjW2zYMZjmhguq%2B%2F9zMbnqdCkT7sB3RHnFPEQ1oPDMOjYjNsjuopP%2Bo8GdvqAP7kDmYV7BTOp31QKuYGL0DLg%2FPuYpr0vYZbQ%2FZLxpXJLWoTygebyIRfWzKPiw2buv57J51%2BRtEwtLXpBtBHjerUJ%2FrHsn2Dz9BeTiaaLPzCDWXU%2B8qaFMj7U87RTvtj3H%2F7vs39v7jO90SZ6B%2BIjZkOB%2FmjNuixn3%2F1MvsoMADftjNKT%2BF1nRPWH%2BVNV4AQVAu2xBmTgoFabTHTvt22i3N0EyCZJNVEvZ6h4L%2FvvSfJKTQ3ySIjt6hrvBSIl4IX0EgjnVBJW2uYZzcgsz8mTOUFBHlp%2FCpKtO1UvEu%2B%2Ba2ytocxE%2FbwujjFobxVf%2BS7gPxzd0xd1NP6OzIeOWzTbOWpy5fGjxMQWRlkLTrT2BmbJDjjy0vKJu4Yoyu%2FMD6KJeDaMwlZ03%2F9HJmf8W0VupEvkxzmD9saUIhJbtcqXGKy2ASpcIH9aQhh8jQ5VzIaT7YUCZ9pcMUtZ5BIS1f06MyLreuiOeUnCjWajjPS76yWgSsIaEwuZtgI%2Fs%2FNIK3iAj%2BOQ53coMm49YMyfcuoauJMuucuzzeQOEuYExKOpsV4N4iKfpMSz3Nk1BjrhNnSquTW203e6rd%2Bngvj%2FAieGA9%2FkG2t19IV9cnp9Clo4bKLlTpL3kH5myebSIcLkbX1qxHJqwJJ9g2KhwTEwONAIncl4hp4mX1kF3ALjknRjcboOxhjtURulyo4KUjDdQ1vVP5Sz%2Breu3s1s96c2Ls53vHPNkSQhjw%3D%3D&pdp_filters=item_id%3AMLB6310252750#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB54961556&backend_model=search-backend&be_origin=backend&search_layout=grid&position=1&type=pad&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB6310252750&sid=search,1799,1799,0,0
"Celular Samsung Galaxy A57 5G 128GB, 8GB RAM, Câmera 50MP, IP68, Super AMOLED 6.7"", Recursos AI -Cinza",3.599,3.599,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=pm3x06cKUuK%2Fkcy3FbO3y1%2Fg1J9ZDhTGJxbeJwH1r32IcJjQALYoMPGW5Ntq3c6nOKjo3R%2FQKjXDVytxpwaqK6HjMrOzv5AcRcx6H2hIzeEFVBK1nhIKj6kuZLrkCue%2FqMkGfiBs9%2BZbQaOq87rEzyq1mVoJHZSDrNaEo0FQOEHmmaFqk1YNi6Dz5BpciJb%2FpdsMNb9KPaoejVNtjxXIyb91NonDoGVNNHT7RhGLvJZcqlgY67xTramKjxTd54B%2Fx2SLGrL8%2BdkoXg3vSMh3Jc4bhR6KA69K6j3larPBAnG4YN8l%2B54pCNguXv0WjDhTvsN%2B3WUri3NCruGvEwVIf6nLzSU3x%2Fp74N3gje1Azovxu8qTPaYrYbCk6LUqbcQDBHt0RIM5AjguRFXW%2FnmPfIWcUB1CFVQ2dBy576UINMLTZWXGkTbq%2FVN09%2F4zqxGEulCAMG37TWW0Cn%2B3GKnfJOhSLxnx8jylDjK6jC6ya3KvG8AyHcBbk330uwJpdL6faWyHh0jG1foRUiw1apcZkDaTotiaLKA%2Fy8cBM9s9cfO%2FdhtBke2yRgVTfffnGLDoMhHWpfnElaipNMVZh25GSXEZ6zjfB2Qb5Q62aeRKQg4YqWgO4z5akXLs3tKiRLn0pfyppnVR5XJBAjarcjoB5X5Uk44OU0hRVW3E0M3RgqDBNhohh1l%2F4jsVrtFj5OYGfTrp5OyE72EfWhNqdzVKh3fsy3ht8E%2B60BflQO7cpcuqn%2BMX%2FwRcEd5Z%2FndvngxHk%2Bs4%2BeRg5YcesegOx0GuQXnXsURu3kmomJBC0L0UF%2BehukxdokRMRujnHKas7sX%2BOoeQs1goTaias5cJm%2BApUZGnKTgcv4lLzWTQzE0DfSNbnqkUANyq7pzVQczBrdS4H%2BSgiemZ6LXqz5iXcl9xJb9qZtAs7BjOX76%2F%2BGZMiRlBk7kYjHm%2BDHy56CV3EIUtT4hsKUV9uaHsV%2BIk7HTlheu83MZzDl7Apdr2Vxq6KPpyH1Kcor5VP2gd%2BsakA0cjEHn%2BvnzjdGO2BA%3D%3D&pdp_filters=item_id%3AMLB4614768419#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB68213520&backend_model=search-backend&be_origin=backend&search_layout=grid&position=2&type=pad&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB4614768419&sid=search,3599,3599,0,1
"Celular Samsung Galaxy A37 5g 256gb, 8gb Ram, Câmera 50mp",3.599,3.599,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Fih4wteaoEzIXGcvqMTlGk0R1a0RFXZlQ8xXkr4M3la6p20GWKIHNwg3TNeEQb1t7po2BLSs1otEHsNtrG9XkNaECA%2BwCvCcD4Wi5ewddNrU1hO7usB%2Fb2X8PrrGYSiVb8nsipTIN6KKTC7P0%2BKlamMlivACWUwLw5wqFsDrP5ZBQFadwqDZcnqF1F9SvA%2FVWszLlGcKs61l12n1O2qR%2BKkZyZix0ozeZFerPIuj0eC4pRQhB4AEphxWGrTUwGoPKB%2B7bKrPjpFUAQnIHrTBanQ7v7GCLqLTgAu%2FxXgekcvvuVt3QFL4zhjzT%2BvyrLaACI8awc5SkOc2j5NduGAr39AsjS4aVHMolJE6s5d8SWT826BVJf32pIK7iWAq53PfQOCEZE8CgvPJ1V2%2FtwkepN8S%2F8zR%2Ftf5ObjYLsXtvGCf1B%2Fup2r1hpm9%2BJ7e8oLeb5xmuy3rY%2FIP53JZfK2SuH1z%2FLyj86DY0T9O6K%2FBh6cG3RyQR%2BS7Hl3CZ5gm2Z7VSLPl6x35STwUOHFQJU37XH50ogLDrl34pN2z10PrD2GJaz1%2B19ByYfHoKj3qyQAjnX57%2FLiuTR%2BXCbODsKeS7ywILQx8ScuPplL2c%2B46STwp9KwjYrhg0aGidQagU%2FLnFkk2K8h4q%2FLXL%2FFdJZZq4LMwiFRnLpHWuS5ATOMdxjTFHhchTkxhEE8gyBJksgP%2BnXN%2BBnVmXYd8RNc6Xa4TQR%2FqVPOus2SBVPt73BWOviFlH19HiycO5GliDg9J7rE1cOQf33tqk0caOQiGkWOLhWGXqFz%2B244NrOmBwnoY0rX%2B6K9vuDy8s9C1VxzUtDcFIadvKM7PP21MIEmhB4O9w9Q7QYcUu3scEsUfxWwZpu0zAmE%2FuO8HdbdUgRLlOHIvUCEVyEUnawiRW3yfGiWEMt6x0tVrIBe8enYEOHQ87NN%2BSkp03r3C4t3BZs929Zf%2B2ilPp02Q5wGo3D1HpRr%2BHAKc7O4%3D&pdp_filters=item_id%3AMLB4607668815#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB67976680&backend_model=search-backend&be_origin=backend&search_layout=grid&position=3&type=pad&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB4607668815&sid=search,3599,3599,0,1
Smartphone OPPO A5 256GB 6GB RAM Branco,1.499,1.499,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=mk3XqWPJm62s9d2FRT2o5HZep1WnJe6Gu7oLxse9kFAW0FBYmpphJXS%2B1pFfOOGcxRuh6eS9rcRdmVlHkGs00tZmgnAwHe9wKqEGSanFbjfny%2BojkWotNBEh7vJooW86pkc%2B%2BeYhJNz5bqsUUWZjcu2WG8G%2FUSG0%2FjH8%2B6h8FvWq9QvjfyREcgLeXftOtoQ7ViTqJwpHc40XGN2xf2UW2mV2Qelo56au%2BmDnhnfyJL3efwXq%2Fa8gj8evCfmnXcq%2FoPFOB3Ob622bBJBSwPrhJMWQq%2FMmgutP9vP%2BxC%2FLdHkhEOEZeahPNlchuRdcO0lispjLfMUb8zfBiT5QxWrAbtwQ%2BcSwhivqJkR90B0QbZi8VFpckgRcStA2DlrwkQ8ygpHzRIX2WDhTg6S9v2fs9TIft0dqciqgwXW1Rp9YmhnXwFsi7vaZbR7OYgO%2FUFnp0mS90k2p2EBn4kcO1MRkfiEBoKg56R%2BiJU4en%2BiS2AJvjmGqmucONj4S0deZEHdPwWHeNxtdUKfIq4ye3vth9sPg9qpFFv1Isj2uW4ZpFtXFgW2s9GDKRFhgd9CYXzhUMBHFZbxvczs3wLjXGZMh2E8qZu%2BnhCmAOBujdTy9KgwsA7LP2gsUPmCxYvRXj0sPqYY9rANCQMLMhOzkwnZjCqA8BzGgh%2BxE5ezcvdecnoCHbGrIJIFlVFKYA4SubvxxbjUqFltk71ucTqNCswGZjhlU2UWX1sEbmqm4AUrlX6y98dS4ptdH56pRIVNzq5p9ipH81a7CLqjC0wZXM3YBHNd5eMstJojfmYqRt5ib8twanPQEXcyLO0mPzPOScER7HWkrqpToOhJ1NpKOO9unbgHCAFVvt7X8LvgO%2FdEqB%2BHvcdGJoVuKj103xOAH73y05EDkDvKmOqDCDAE6s8wz9PVIvtLboqTobIJtzdk0eaSnQvPoBkRpx3eXZkRyulEwz5DE%2B1k%3D&pdp_filters=item_id%3AMLB5745515116#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB51680761&backend_model=search-backend&be_origin=backend&search_layout=grid&position=4&type=pad&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB5745515116&sid=search,1499,1499,0,1
Samsung Galaxy A06 5g Dual Sim 128gb preto,989,989,https://www.mercadolivre.com.br/samsung-galaxy-a06-5g-dual-sim-128gb-preto/p/MLB48946861#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=product&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB6433836010&sid=search,989,989,0,0
Smartphone Samsung Galaxy A36 5g 128gb 6gb Ram Câmera Tripla De Até 50mp Selfie De 12mp Ip67 Super Amoled 6.7'' Nfc Recursos Ai Android E Segurança Snapdragon - Preto,2.815,2.815,https://www.mercadolivre.com.br/smartphone-samsung-galaxy-a36-5g-128gb-6gb-ram-cmera-tripla-de-ate-50mp-selfie-de-12mp-ip67-super-amoled-67-nfc-recursos-ai-android-e-seguranca-snapdragon-preto/p/MLB47115842#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=6&type=product&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB6410679768&sid=search,2815,2815,0,0
Telefone Celular Para Idosos Positivo P38 3g Cor Preto,231,231,https://www.mercadolivre.com.br/telefone-celular-para-idosos-positivo-p38-3g-cor-preto/p/MLB47309552#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=7&type=product&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB4570360953&sid=search,231,231,0,0
Apple iPhone 16 (256 GB) - Branco - Distribuidor Autorizado,8.599,8.599,https://www.mercadolivre.com.br/apple-iphone-16-256-gb-branco-distribuidor-autorizado/p/MLB1040287811#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=8&type=product&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB3931247749&sid=search,8599,8599,0,0
Moto G15 Dual Sim 4gb Ram 128gb Azul Marino,1.099,1.099,https://www.mercadolivre.com.br/moto-g15-dual-sim-4gb-ram-128gb-azul-marino/p/MLB46056608#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=9&type=product&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB3975530813&sid=search,1099,1099,0,0
Smartphone Motorola Moto G15 - 256gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc - Grafite,1.499,1.499,https://www.mercadolivre.com.br/smartphone-motorola-moto-g15-256gb-12gb-4gb-ram8gb-ram-boost-e-camera-50mp-com-ai-e-night-vision-bateria-de-5200-mah-tela-fhd-67-com-superbrilho-nfc-grafite/p/MLB44665473#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=10&type=product&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB5237338738&sid=search,1499,1499,0,0
