Title,Price,OriginalPrice,Url,PriceDecimal,OriginalPriceDecimal,DiscountPercent,BatchGroup
"Celular Samsung Galaxy A17 5g Com Ia, 128gb, 4gb Ram, Câm De 50mp, Tela De 6.7 , Nfc, Ip54 - Cinza",1.699,1.699,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=2d0dQTqJ1HWVSjmBzt0OjdB%2FPjf3qQARieScYfbN%2BaaPkx%2BCCPL4I7chLIwvy56edWfiVhW3Ez%2FkF1WQtcceCQQJp7SvEcrFXtXOiopHlRVXoYd0eG73M3LfwukmhdlEcCkEmBW4OgDop1uoeMwZ%2FOsLBPnOIxNutHl7wUq9ZbfnROFhwAb080pr4dnP2V6NGcBdwNKZFKEuMhUL31TbCsYW%2FQgeHpe9oQtBdcIzdSScxFR3HFL0ayj4rp8OWb5vOVzhuowNW1%2FmM56VJ%2FELsBwqbyLwAds68d1J7cHKbB7f69v6eL2Z4yPXaAGBwc%2FTo6jdKrp%2FTLqwSm%2FVZWp2FW7nx2NCyE50SArkYRe6dRyS3c7c748aS4k3qjSB0c7HVBmeGPgVe1CZ4sOC%2BdorAIhylXqA%2Bxz%2FWrL6VbIGDPO34sxrF%2BgZywbUzecGD%2BWii%2FB8VPT2DSZ%2BQC%2B57OrGQIsX3pvqPKmVXHXGVEXbA7z2b9xFwCWCEowk8%2FetSOEyqv2PLMpm88CsoUDpAQBR0nmpIWl8v9PljB4ubxrDNCZFk2oPsWSnXJnT%2FtGdPNi0PmL%2F%2BdDWWNHdcX3IAMUPICb%2BKTszvqSqSGluojUqfbDxdSrVYCfu5HUDWeOKQ2nqN4WgTo8WD1Z6t6Yu49ipvasGzuFsnZOnOSzyzTP5K8cWEvEZqSZe%2FN%2FPEqAFoa9c21r1QQvm9A9DHmjWpOkQHkOMycdP1OkUDs3k8Mlm%2FHGc2hEmHD%2BTK7E2g5gBMfwDoEFgpMp29Qts2sN4SnZw3RwbyFL2Q2RUbW5uhEFEt3VNryixnPV3nU%2FH2znm%2FT5pQLuwQi2OhrP4UJUZxSpK%2BQtcpQ81isyLCPQ9k7E0nYq8AMCVlLLh0z%2FwM6ZyYEg5jmVoeMXrQX2f4ac%2Bikke%2B%2BxiRTf1hffI67s2oM5NUNNnx2M%2B7pQ6VMlF25xvlFWMBKEN8y7lHMD52i9nDNr2dufvmmG0FoZ%2FYKKiNx%2F1%2BJbTTP9mcZjLx06T0YQQ2EcSoO0K&pdp_filters=item_id%3AMLB6543430284#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB55521828&backend_model=search-backend&be_origin=backend&search_layout=grid&position=1&type=pad&tracking_id=fcb5615c-8c98-41a1-bbd6-480336eb015f&wid=MLB6543430284&sid=search,0,0,0,0
Celular Samsung Galaxy A07 256gb 8gb Câmera 50mp Verde,1.799,1.799,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=DxwziTGKw1oawjLdWbF6I4G4ozmfd6ibXOvbcchkYdRYAfhNCBoBpzgRJoZCKyoGoCHZfa%2Bm6Rr28HL7%2Fe%2FQE%2FUj4yhm5tulPxCINCqi3JBwwnhDuhLvKLvm3EuOkSnYH1ZaGPc2Q3XTmXPWxmlVmcHgGDO0cP6jpJGmmGGLZcuXxJtV9cKMgp%2Fa5f33Owxpn9jHK1YTE%2BQUlqH3RQq%2BFx0WZT3havem3tC%2BLdILdZrAIDik2J9Ywnbf0EjZEHwWW6ArghhzqWPHf8V02rEHuPUTyZTphTHzZY3aOSasemEbjf%2FN88to51lhcx7Z2ltR2P9sm%2FtxIevWrjnDbyhUm1%2BLFt9TwJuu6eFPU5VpsWQCg01JYUK6ezSuZbbDiT3yW72KNXrMLWTDMOtvTtRX%2BTrrq5g2VOAq317uy%2B8%2FLUftI%2FdKAmcLLwC16cjNUrIfR3jjhXcLoahWRVfx7eHHnt1p6uVOdHVgPmPv5Ga5aHmGhE6vnUOtxptxfR3GbzoPmjcbQ%2BNk8q7sim94gc207qat0mzXthKZEr2PGwbZM0aFrQdcBApy9ygCVfHofWmW%2B1DBFSccGfCIutQhphNKlZGsP76T8S7r9vSo0eBh2FXmw05jHsxpmSlkIZdCxFwQhvUyctimpA5Vn37c1DX2h5KzqshQBFtM8muFJkBmhh7k1rnNK6Ms1OcvXb3SB8P3erAX8Vb0YsrV8%2BQ8pIcj3j0CzrQyvt36iBpgs%2F%2BWgy6FmIK7ddgeFl7gQA8ENbLAOv%2BXvVjGiwKr%2FtZlELjh5GZZ7vJyzJF1PhJEKGJlG8bBX%2FRGsP3Ef%2Blb21855onqpU7111OTJUTQBZ3UQ1hbH72jregNxV3tzzw2MSwLYFrFoad7y6dHBcjrLtGZT2CI4tGmM6AIj%2B%2FaA9DhFnZ0ygNdp9k%2BnXtasmjabjafm%2BF9FkTBTPcgF1lWOuA%2F%2BI0td%2BACVVgeAtlaJnV1Romf9w%3D%3D&pdp_filters=item_id%3AMLB6310097450#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB54963045&backend_model=search-backend&be_origin=backend&search_layout=grid&position=2&type=pad&tracking_id=fcb5615c-8c98-41a1-bbd6-480336eb015f&wid=MLB6310097450&sid=search,0,0,0,0
"Smartphone OPPO A6t 128gb, 12gb Ram (4gb + 8gb Virtual Ram), Bateria Gigante de 6500mAh, Processador Snapdragon, Tela 120Hz, AI Câmera, IP64 - Violeta",1.299,1.299,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=12wTGkoxW%2B%2Bw6c5UoIT9MEEX4Nq8MUMUNnk%2BxTQ3TMaz2SAArPX3Fc5d6jfQAmzIDa3r6%2F041WwwvhzvyvfdoCAkuBsVwFWo6qxwOpHzW2IrXDVJtPE9wd4OU5dOUzsnDSfxeKFGJ6PtQXVg3ahXzLsjXx5uabizIm1iK2o4Z98uZvSEsxk%2FlwlJWMmrgl%2FIp%2FXoaEGRXR%2Fe%2BFiLWp6EpCr1V%2BsSuKsFdp2Ovu6hA6fEFSGvJ%2FtvRJt82j2shsKcHbJ5BHqYaDLqMjq2rwiZx0ESYFWvHha%2B%2ByaBAX9CQh49eqq1rgzuXZKIo0kACrK0AAAcl0kL1jPO6rxHH%2FO8SlW%2Fifq%2BvRzT%2BNcMeZ40K9n7W%2BBWZUhix4nNTtwQfF6UcexJf9iczuyBGiCzG8jB2Pv6Sde%2BLvBS7cc%2B0v7RjQuAkZdBn5dzahmOWbwMeaKuLPHBVZmlphFv%2F%2Bbrx5SGFxi2ZZ35WiwMjE2CNdLEHj2zOQWbudym9%2BLKroyZRSXg7HG%2B8YRcrVC49fhJw1cPtzbfa417bFWaNgQc7ZlURevwgnym0Iuocq9O7zg45Bv%2BfUvzOqzMiInonJYJQRfLWmaPfZZjQGBbGdrdr4hzzwZIZvrVb5kL5jgXVicSaIxrmqjkOVktg386gQGq25WI117Yzc9PeqN42maTFYUlwMoR8Jqb6yh8Unogg28Eqsc2YWRn%2BIfAN8o72RZq%2BUvNoCKxNEB3l9dHFuryVEOdilNEN7z2YG%2FwUPz0NOkN4QsROBh2OyTpS4Y326nl%2BqlB7n13t%2Fvvkn8Dt%2Fpd9%2FPCD6T0Q5C0%2Br6e%2BQas0e85Yqx%2F734Qf0%2BqoHQqhmcUgJ49AZx2evpBUCg1qpWJGh0Vb3%2BiLvpTPE0HNs4usdHHeHVVkT%2F6UJ2SuwZEUM5wPcCjKvX50Bud6M28VT49KSGJuOMUq2Sca7A9mHDXwbZpNzFvR%2F5KuomgBWWXMLCvzE0SIdkvl5WTKm9WeaZgMMu0EJpC%2BppAAYbciXzxU2Opur8OzxqhwpzGm4RUKXjCVK4lYUPV9TtI3QEMvv0hNwDPeHI7JTXcUvmT%2BFHay3XaIRMpAqpOMw%3D%3D&pdp_filters=item_id%3AMLB4573343865#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB66130734&backend_model=search-backend&be_origin=backend&search_layout=grid&position=3&type=pad&tracking_id=fcb5615c-8c98-41a1-bbd6-480336eb015f&wid=MLB4573343865&sid=search,0,0,0,0
Celular Umidigi Note90a 64gb 4gb Ram Cores Dual Sim Cor Preto Ultimate,600,600,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=n7WDNAzOBimKP%2FBMd92G0FLXM2xzl8YTALSCgmrJEYt1cqyqSn0uZ64%2BCpjycx4HWJ8LiUq4IEgk1QpeXWE%2F%2BmU7c87c2%2BtIa1et%2FEmhEAREvNM%2Fc0yfxy%2BNCP7mj2m5v7gAHeRR8fGb1Api5ndLWBVa%2B1G1mmpF0LfJvzobP3Zbjl2avvNgjMku7Fe1w58QDf6Rabr1l28I0u86ryMXi1moli42x%2BNoLx2isU9nnm8zabASz40n7A4qDqun0LChrHZxFoFpsrYdSkpoOJT61WO2NsOOAGhsJyjEr8f7fhz4QPreR1VwXvW0YzKJojjugUuTCNx3tpiknro%2BaMmVaeDqMxM2d%2BmjcjZIvYKW9eumZLDYNl9AbEvy2qz8vk0oUPov4nK0IzvJ%2FYn1w3TbCa0cWDQYy0bMtx%2FIdwIUSe8lxukXPk2zCDlpT7Zshrf2rdvFEkEcfpTNoZu3DbMTFZVw%2Fi6shkz1ZgWsUub5k7vQA6hvTrAgqZj1zQf4Mi%2BMzF0DlGJ44h4CoL5AGe3hoAJ7WigKSYN9ILEaxd1InwLg2L47zEuOaoGLSRboY5ftRXm7tpjb0NyXtzcoDkiX4j45Qtd07Lh6tbG1JOq7jhGJ4nQm%2Fb3RxuAaU5kwqNkNNJoIoltnHWlqyFKe4TEGNO3OU1DcdODyQ73Ya6nTMgi%2Fpd4QYBppttrkEEC%2FBaO36sm2uDlwPvjXcblws6RJgbl%2F1SPYrS9I2wwjHZ3%2FtAexs5TrcqQzW8CgjvIAH%2Fus7tOXYYvAtPAbrCIHYmBCw5cJMuIxen3ghifzUa6%2FedjVqd1cYCiEyQrJmgmwIUdr8OuwDwGT9L8Ele8dMSpRwUzAHq6DWKqBglrT%2Bq1iJMKbTUCS0PsYn3sv%2BC6PEx5xTLejx9YfGSIENcgXOBCPAaPRSW00Be111%2BCUJC17L4r5SzrqqL8%2FZ9RP%2B0m2Cy7cK%2FCNMRmj3BoNLl8d2LsMQWtv65xRMvl510AXzF2LKuuQ&pdp_filters=item_id%3AMLB6184416396#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB54799503&backend_model=search-backend&be_origin=backend&search_layout=grid&position=4&type=pad&tracking_id=fcb5615c-8c98-41a1-bbd6-480336eb015f&wid=MLB6184416396&sid=search,0,0,0,0
"Celular Samsung Galaxy A26 5g 256gb, 8gb Ram, Câmera De 50mp, Ip67, Tela Super Amoled 6.7 , Nfc - Branco",2.799,2.799,https://www.mercadolivre.com.br/celular-samsung-galaxy-a26-5g-256gb-8gb-ram-cmera-de-50mp-ip67-tela-super-amoled-67-nfc-branco/p/MLB47436035#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=product&tracking_id=fcb5615c-8c98-41a1-bbd6-480336eb015f&wid=MLB5461743948&sid=search,0,0,0,0
Celular Samsung Galaxy A07 256gb 8gb Câmera 50mp Verde,1.799,1.799,https://www.mercadolivre.com.br/celular-samsung-galaxy-a07-256gb-8gb-cmera-50mp-verde/p/MLB54963045#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=6&type=product&tracking_id=fcb5615c-8c98-41a1-bbd6-480336eb015f&wid=MLB6310097450&sid=search,0,0,0,0
Moto G15 Dual Sim 4gb Ram 128gb Azul Marino,1.099,1.099,https://www.mercadolivre.com.br/moto-g15-dual-sim-4gb-ram-128gb-azul-marino/p/MLB46056608#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=7&type=product&tracking_id=fcb5615c-8c98-41a1-bbd6-480336eb015f&wid=MLB3975530813&sid=search,0,0,0,0
Smartphone Samsung Galaxy A36 5g 128gb 6gb Ram Câmera Tripla De Até 50mp Selfie De 12mp Ip67 Super Amoled 6.7'' Nfc Recursos Ai Android E Segurança Snapdragon - Preto,2.815,2.815,https://www.mercadolivre.com.br/smartphone-samsung-galaxy-a36-5g-128gb-6gb-ram-cmera-tripla-de-ate-50mp-selfie-de-12mp-ip67-super-amoled-67-nfc-recursos-ai-android-e-seguranca-snapdragon-preto/p/MLB47115842#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=8&type=product&tracking_id=fcb5615c-8c98-41a1-bbd6-480336eb015f&wid=MLB6410679768&sid=search,0,0,0,0
Smartphone Samsung Galaxy A36 5G 256GB 8GB RAM,3.299,3.299,https://www.mercadolivre.com.br/smartphone-samsung-galaxy-a36-5g-256gb-8gb-ram/p/MLB47111905#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=9&type=product&tracking_id=fcb5615c-8c98-41a1-bbd6-480336eb015f&wid=MLB5317478858&sid=search,0,0,0,0
Celular Samsung Galaxy A56 5g 256gb 8gb Ram Cinza,3.699,3.699,https://www.mercadolivre.com.br/celular-samsung-galaxy-a56-5g-256gb-8gb-ram-cinza/p/MLB47114363#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=10&type=product&tracking_id=fcb5615c-8c98-41a1-bbd6-480336eb015f&wid=MLB5317821714&sid=search,0,0,0,0
